Date,Observer,Temperature (F),Wind (mph),StudyLocation,Treatment ,StartTime,PatchID,PointID,Species2min,SpeciesCode2min,Distance2min,Species5min,SpeciesCode5min,Distance5min
4/25/2024,JS/NB,55,11,Topeka,WMA,8:47,3,3.2,American Robin,AMRO,32.1,Chimney Swift,CHSW,Only Heard
4/10/2024,"ED, NP",55,5,McPherson,WM,9:31,BB2,BB2.1,Brown-headed Cowbird,BHCO,32.4,Mourning Dove,MODO,161.6
4/25/2024,ED,57,16,McPherson,Rural,8:24,BB3,BB3.2,Killdeer,KILL,32.4,Red-winged Blackbird,RWBL,51.8
4/25/2024,JS/NB,55,11,Topeka,WMA,8:23,3,3.1,American Robin,AMRO,32.5,House Finch,HOFI,Only Heard
4/24/2024,JS/NB,48,5,Topeka,WMA,7:42,15,15.1,Ruby-crowned Kinglet,RCKI,32.6,Yellow-rumped Warbler,YRWA,23.8
5/1/2024,JS/NB,58,10,Topeka,Urban,8:00,19,19.1,Rose-breasted Grosbeak,RBGR,32.6,House Wren,HOWR,Only Heard
7/10/2024,NB,72,4,Topeka,Urban,8:32,2,2.1,European Starling,EUST,32.7,NA,NA,NA
7/16/2024,NB,79,10,Topeka,Urban,10:38,14,14.2,American Robin,AMRO,32.7,Mourning Dove,MODO,19.8
7/16/2024,NB,79,10,Topeka,Urban,10:38,14,14.2,House Sparrow,HOSP,32.7,American Robin,AMRO,56.4
4/10/2024,JS/NB,55,4,Topeka,WMA,9:59,6,6.1,Harris's Sparrow ,HASP,32.8,Red-bellied Woodpecker,RWBO,Only Heard
4/22/2024,JS/NB,45,11,Topeka,Urban,7:52,5,5.1,American Robin,AMRO,32.8,European Starling,EUST,31.4
4/23/2024,ED,61,6,McPherson,WMA,9:23,IN9,IN9.2,Savannah Sparrow,SAVS,32.8,Horned Lark,HOLA,113.8
8/28/2024,"BO, RR",67,1,Garden City,Urban,7:55,GC 4,GC 4.2,Eurasian Collared Dove,EUCD,32.8,American Robin,AMRO,40.7
4/18/2024,ED,49,7,McPherson,WMA,9:57,IN,IN4.1,Ring-necked Pheasant,RNEP,32.9,NA,NA,NA
